test,family,contrast,estimate,lo,hi,n_clusters,n_boot,alpha,sesoi,verdict,n_pairs,n_nan,p_perm,passed
H_pos,domains,between_prompt - cross_intent,0.2893385605827034,0.25749553065502123,0.32048761738891285,286,2000,0.1,,,91074,446,0.0001999600079984003,True
H_pla,domains,same-parity - mixed-parity,-0.0015933742422254982,-0.007673864884070958,0.006935314656444904,143,2000,0.1,0.1,NULL — practically equivalent to zero,70685,386,,
H1,brands,within - between,0.19956878785389554,0.16194811929059577,0.23932317842260764,143,2000,0.1,0.1,REAL EFFECT — exceeds SESOI,73770,304,,
H2_domains,domains,within - between,0.13150931104359614,0.10380439926550812,0.16011015613301577,143,2000,0.1,0.1,REAL EFFECT — exceeds SESOI,73619,455,,
H2_grounding,grounding_tokens,within - between,0.26565898390536846,0.23682978072751526,0.29543869633528064,143,2000,0.1,0.1,REAL EFFECT — exceeds SESOI,71373,2701,,
H2b_urls_descriptive,urls,within - between,0.16317104024645768,0.1432697995479074,0.18228937967239667,143,2000,0.1,0.1,REAL EFFECT — exceeds SESOI,73619,455,,
level_between_prompt,brands,between_prompt,0.5367299084291594,0.49120106734041463,0.5812727281983995,143,2000,0.1,,,70893,178,,
level_within_prompt,brands,within_prompt,0.7362986962830549,0.7156409629683846,0.7561721627803334,139,2000,0.1,,,2877,126,,
level_between_prompt,domains,between_prompt,0.29766337380393526,0.26384531200662104,0.32909983679869886,143,2000,0.1,,,70685,386,,
level_within_prompt,domains,within_prompt,0.4291726848475314,0.40226978165243393,0.45409447826817956,142,2000,0.1,,,2934,69,,
level_between_prompt,urls,between_prompt,0.11855549536441094,0.09447659096296161,0.14435265295669664,143,2000,0.1,,,70685,386,,
level_within_prompt,urls,within_prompt,0.28172653561086863,0.2578302467431515,0.3047374301411133,142,2000,0.1,,,2934,69,,
level_between_prompt,grounding_tokens,between_prompt,0.2453739333206141,0.21929395327434026,0.27070626652856655,143,2000,0.1,,,68370,2701,,
level_within_prompt,grounding_tokens,within_prompt,0.5110329172259825,0.4890290191555239,0.5345764676445341,143,2000,0.1,,,3003,0,,
H3_text_cosine,answer_text,within_prompt,0.38069785220262614,0.37003424485214437,0.390729487005045,143,2000,0.1,,,3003,0,,
H3_text_cosine,answer_text,between_prompt,0.22416527575222067,0.2065191797944261,0.2403950791681148,143,2000,0.1,,,71071,0,,
R1_rbo,brands_rbo,within - between,0.19141608982241598,0.15944014208183638,0.22426924055406908,139,2000,0.1,0.1,REAL EFFECT — exceeds SESOI,66534,7540,,
R2_no_w1_brands,brands,within - between,0.20502652034309077,0.16758162493910872,0.24760297117297583,143,2000,0.1,0.1,REAL EFFECT — exceeds SESOI,62818,245,,
R2_no_w1_domains,domains,within - between,0.13290307635613674,0.10564338287944579,0.16106846285076165,143,2000,0.1,0.1,REAL EFFECT — exceeds SESOI,62666,397,,
R3_dedup_brands,brands,within - between,0.20284731669991485,0.16272778612095717,0.2430742011013806,139,2000,0.1,0.1,REAL EFFECT — exceeds SESOI,69752,304,,
R4_nonempty_grounding,grounding_tokens,within - between,0.3345219060527344,0.3059138637952199,0.3636167055615337,143,2000,0.1,0.1,REAL EFFECT — exceeds SESOI,65823,0,,
R5_between_xwave,domains,between_xwave level,0.2924426516329168,0.2612046747389527,0.3236097797333945,143,2000,0.1,,,25415,163,,
