brand,k_prompts,days,design,moe90,runs
sony,5,1,once,0.2,5
sony,5,7,daily_week,0.15714285714285714,35
sony,10,1,once,0.15000000000000002,10
sony,10,7,daily_week,0.12142857142857144,70
sony,15,1,once,0.10166666666666607,15
sony,15,7,daily_week,0.10000000000000003,105
sony,25,1,once,0.09999999999999998,25
sony,25,7,daily_week,0.07714285714285712,175
sony,40,1,once,0.07500000000000001,40
sony,40,7,daily_week,0.057142857142857106,280
sony,70,1,once,0.04285714285714287,70
sony,70,7,daily_week,0.03673469387755102,490
sony,100,1,once,0.030000000000000027,100
sony,100,7,daily_week,0.02357142857142852,700
bose,5,1,once,0.2,5
bose,5,7,daily_week,0.2142857142857143,35
bose,10,1,once,0.2,10
bose,10,7,daily_week,0.16428571428571426,70
bose,15,1,once,0.13333333333333336,15
bose,15,7,daily_week,0.1333333333333333,105
bose,25,1,once,0.12,25
bose,25,7,daily_week,0.09714285714285714,175
bose,40,1,once,0.08750000000000002,40
bose,40,7,daily_week,0.0714285714285714,280
bose,70,1,once,0.06428571428571428,70
bose,70,7,daily_week,0.045918367346938826,490
bose,100,1,once,0.044999999999999984,100
bose,100,7,daily_week,0.02928571428571425,700
sennheiser,5,1,once,0.3,5
sennheiser,5,7,daily_week,0.2142857142857143,35
sennheiser,10,1,once,0.2,10
sennheiser,10,7,daily_week,0.14999999999999997,70
sennheiser,15,1,once,0.16666666666666669,15
sennheiser,15,7,daily_week,0.12380952380952381,105
sennheiser,25,1,once,0.12,25
sennheiser,25,7,daily_week,0.09157142857142858,175
sennheiser,40,1,once,0.08812499999999662,40
sennheiser,40,7,daily_week,0.07142857142857145,280
sennheiser,70,1,once,0.06428571428571428,70
sennheiser,70,7,daily_week,0.04387755102040819,490
sennheiser,100,1,once,0.04999999999999999,100
sennheiser,100,7,daily_week,0.027857142857142858,700
anker,5,1,once,0.3,5
anker,5,7,daily_week,0.2571428571428571,35
anker,10,1,once,0.25,10
anker,10,7,daily_week,0.17142857142857143,70
anker,15,1,once,0.2,15
anker,15,7,daily_week,0.1380952380952381,105
anker,25,1,once,0.15999999999999998,25
anker,25,7,daily_week,0.10285714285714281,175
anker,40,1,once,0.11250000000000004,40
anker,40,7,daily_week,0.07321428571428568,280
anker,70,1,once,0.09285714285714286,70
anker,70,7,daily_week,0.048979591836734726,490
anker,100,1,once,0.07,100
anker,100,7,daily_week,0.03142857142857147,700
apple,5,1,once,0.4,5
apple,5,7,daily_week,0.24285714285714285,35
apple,10,1,once,0.24999999999999997,10
apple,10,7,daily_week,0.17142857142857146,70
apple,15,1,once,0.19999999999999998,15
apple,15,7,daily_week,0.1380952380952381,105
apple,25,1,once,0.15999999999999998,25
apple,25,7,daily_week,0.1,175
apple,40,1,once,0.12499999999999997,40
apple,40,7,daily_week,0.07321428571428573,280
apple,70,1,once,0.09999999999999998,70
apple,70,7,daily_week,0.04795918367346938,490
apple,100,1,once,0.08500000000000002,100
apple,100,7,daily_week,0.030714285714285722,700
jbl,5,1,once,0.2,5
jbl,5,7,daily_week,0.2,35
jbl,10,1,once,0.2,10
jbl,10,7,daily_week,0.1357142857142857,70
jbl,15,1,once,0.16666666666666666,15
jbl,15,7,daily_week,0.10952380952380952,105
jbl,25,1,once,0.14,25
jbl,25,7,daily_week,0.08000000000000002,175
jbl,40,1,once,0.1,40
jbl,40,7,daily_week,0.060714285714285714,280
jbl,70,1,once,0.07892857142856947,70
jbl,70,7,daily_week,0.039795918367346944,490
jbl,100,1,once,0.075,100
jbl,100,7,daily_week,0.024999999999999994,700
